d,cc,z,tall,o3,pv,r,ciwc,clwc,q,crwc,cswc,t,u,v,w,vo
3.753522258333335e-06,0.3765498683333333,48060.665166666666,4900.823947666667,1.09392631e-07,5.997986033333334e-07,87.35855666666667,1.7826058583333333e-05,7.135262619666667e-06,0.0043644893333333,1.5997736666666667e-06,9.670316666666666e-05,268.7950866666667,11.396710916666668,3.447119766666667,0.0028710181666666,-1.1108878333333277e-07
5.627866000000005e-07,0.3361801716666666,48099.77121666667,4904.811654916667,1.0889235133333333e-07,6.625741803333334e-07,87.74967583333334,1.5048869350000002e-05,6.628225783333333e-06,0.0043519845,4.763972666666666e-07,5.148019983333333e-05,268.81355333333335,11.26163315,3.490832425,-0.1127436886666666,6.567572666666667e-06
1.8879997000000004e-06,0.4927350966666666,48071.97206666667,4901.9769306,1.0805302833333333e-07,6.1281348e-07,89.5423675,2.18385292e-05,2.492501564166667e-05,0.0043173723333333,6.973377833333333e-07,6.429456716666666e-05,268.65316,10.500679466666666,3.762884205,-0.1726830653333333,1.0013635833333322e-06
1.38861856e-05,0.702379815,48073.85831666667,4902.1692746,1.0568571983333332e-07,4.920682283333334e-07,92.38852833333334,2.996162983333333e-05,3.586327741e-05,0.0042985958333333,3.5856986666666665e-06,0.0001658178333333,268.3361,9.14120465,4.8576251783333335,-0.3174833158333333,-1.50234955e-05
1.3915753e-05,0.7903765766666666,48075.39403333334,4902.32587415,1.023647561666667e-07,5.50838295e-07,92.0459135,1.5855981833333335e-05,5.460266883333334e-06,0.0043349921666666,8.215067833333333e-06,0.0001999645,268.32609,9.521223516666668,6.287186966666667,0.0274627165,-1.2279367333333334e-05
2.16174465e-05,0.7755220283333334,48040.3132,4898.7486247,9.50581695e-08,7.4017641e-07,93.93355,2.619883425e-05,5.182101338e-05,0.0043857853333333,7.459556666666667e-06,0.0001846817276666,268.2364483333333,10.60415095,6.990933088333333,-0.4473876938333334,1.3586814166666668e-05
8.3727955e-06,0.7655984240000001,48044.98875,4899.22539795,8.827162483333335e-08,1.1991234166666667e-06,94.17708816666668,3.886828283333333e-05,6.178782976666667e-05,0.0043396636666666,1.0872878333333332e-05,0.0002243181076666,268.06587333333334,11.9428729,6.725625586666666,-0.3856231371666667,5.65843735e-05
-2.318641e-06,0.7226429605,48030.543600000005,4897.752402733334,8.528708816666669e-08,1.045315145e-06,93.74440916666668,3.7732768166666666e-05,5.2886372333333336e-05,0.0042970833333333,9.526957e-06,0.0001975656666666,267.9748133333333,14.047552966666666,5.450596296666666,-0.4032645033333333,3.602407433333333e-05
-7.991847500000002e-06,0.7411264075,48011.903783333335,4895.8516705833335,8.662833833333333e-08,7.7990125e-07,93.33117833333334,3.804932033333333e-05,5.068160116666667e-05,0.004234378,7.9697275e-06,0.0001495434783333,267.79264166666667,15.32250825,4.433489375,-0.3606018433333333,1.5925736333333334e-05
-6.128611000000001e-06,0.4728834246666666,47997.6457,4894.397750516667,8.971695366666666e-08,7.4129305e-07,92.27565733333334,1.31469125e-05,5.0348451500000005e-05,0.0041555873333333,3.943173666666666e-06,4.3962527416666666e-05,267.6556366666667,16.4631973,2.870523933333333,-0.1589375356666666,1.25261715e-05
4.481461666666677e-07,0.3263021913333333,48014.03786666667,4896.069286566667,9.6139699e-08,6.853599666666667e-07,81.40806166666667,7.843729233333333e-06,6.112852109333333e-05,0.0038258173333333,9.544605666666666e-07,1.30993994e-05,267.474205,17.034032,1.0733988166666666,-0.083074828,1.0399129e-05
1.3719006666666658e-06,0.3762946916666667,48039.22351666667,4898.637507833333,9.8338821e-08,6.840890833333332e-07,79.88057233333333,8.918647202999999e-06,8.100639483333334e-05,0.0037824353333333,6.855085e-08,1.665462845e-05,267.3069983333333,17.7014587,0.8126067333333333,-0.1092088371666666,1.2241304333333337e-05
2.228047166666666e-06,0.3674288883333333,48058.03339999999,4900.555582283333,1.00910635e-07,6.14352825e-07,76.56569583333334,8.274479699999999e-06,4.1975047e-05,0.0036265815,1.42059e-07,2.20467215e-05,267.16902166666665,17.164960349999998,-0.635065145,0.1197192763333333,-1.275210666666669e-06
4.2794583333333334e-07,0.0356479439999999,48084.87446666667,4903.292609383333,1.0672798200000006e-07,6.110733666666667e-07,66.17392766666667,9.72841255e-08,7.9552175e-08,0.003345856,1.093008e-08,1.0730915500000002e-05,267.4465783333333,16.564728383333335,-1.6792667666666663,0.2814469856666666,-1.829296e-06
-9.020194333333332e-07,0.0002612085,48112.3718,4906.0965568833335,1.1231200433333333e-07,5.80547745e-07,56.5997535,7.929953e-09,0.0,0.0030308901666666,0.0,6.0615944e-06,267.69411833333334,15.44345955,-2.471244233333333,0.1445577933333333,-5.1325115999999984e-06
-2.111241833333333e-06,0.0002612085,48169.13773333334,4911.885071016667,1.1616376166666669e-07,5.02592955e-07,50.367543833333336,0.0,0.0,0.0027673288333333,0.0,6.696202089833334e-06,267.819615,14.060075843333337,-3.100392786,0.094307554,-1.6937692026666668e-05
-2.6782979716666672e-06,0.0,48192.80428333333,4914.29838755,1.182045516666667e-07,4.5453282666666667e-07,43.69280691666666,1.9074848333333334e-07,0.0,0.0025219933333333,0.0,8.279799183333333e-06,268.1690116666667,13.150817123333333,-3.013965766666667,0.1244326526666666,-2.0043385666666667e-05
4.01696845e-06,0.0,48181.00338333333,4913.095030733333,1.1713824500000005e-07,4.17700565e-07,39.73165033333333,1.112756666666667e-07,0.0,0.0023672786666666,0.0,4.827941086666667e-06,268.27741,12.65350155,-2.47011045,-0.0429477121666666,-1.9424913933333336e-05
3.486853733333333e-06,0.0,48179.17243333333,4912.90832575,1.153094716666667e-07,3.95867875e-07,37.885481166666665,1.5901396666666666e-08,0.0,0.0022938371666666,0.0,1.6765154363333331e-06,268.29447,12.343280041666668,-2.2875795533333334,0.0357803455,-1.6818297216666667e-05
3.5659664166666666e-06,0.0,48177.706,4912.7587914000005,1.1452807333333334e-07,3.749032466666667e-07,35.86273616666667,0.0,0.0,0.002214173,0.0,1.1116641e-07,268.52352666666667,12.281580566666667,-1.8988270258333333,0.0631677991666666,-1.7146666666666666e-05
7.741809850000001e-06,0.0,48173.60966666666,4912.34108165,1.13653536e-07,3.7822766e-07,35.6509495,0.0,7.97145e-09,0.002207776,0.0,0.0,268.69767,12.021477216666666,-1.1947063666666666,0.0849436945,-1.6936795133333333e-05
1.238668715e-05,0.0,48199.28176666666,4914.958906983334,1.13201451e-07,4.216054705e-07,35.38329733333333,0.0,7.97145e-09,0.0021951201666666,0.0,1.5903235e-08,268.85299166666664,12.098118441666664,-0.4764037966666667,0.0771802975,-9.806305133333332e-06
9.0552716e-06,0.0,48223.1571,4917.3935136166665,1.126963506666667e-07,5.225127066666667e-07,36.625017666666665,0.0,7.97145e-09,0.0022083451666666,0.0,6.7595e-08,268.80732166666667,12.23803195,0.4336844066666667,0.0514981594999999,4.051148116666666e-06
3.003888833333333e-06,0.0,48281.77978333333,4923.371363533333,1.1322705833333339e-07,6.215441500000001e-07,43.75140366666667,0.0,1.5942892666666666e-08,0.0024670851666666,0.0,1.5901396666666666e-08,268.8611233333333,12.8445945,1.999302325,0.1167469285,1.5590787e-05
1.217669566666666e-06,0.0005210571666666,48259.4841,4921.097836533333,1.1239871066666668e-07,7.67033575e-07,49.56477883333333,0.0,2.6241222166666664e-07,0.0026884266666666,0.0,7.950701666666666e-09,268.78998666666666,14.189842116666666,2.332199875,0.0274392308333333,1.7280964166666666e-05
3.211929833333333e-06,0.001042114,48306.79256666667,4925.921957783333,1.1153175166666668e-07,8.038771083333333e-07,55.22428133333333,0.0,9.142513466666668e-07,0.002905427,0.0,0.0,268.58708333333334,14.957045166666669,2.82291625,0.0226029541666666,1.1989118e-05
-5.136935833333334e-06,0.003125223,48307.07998333333,4925.9512662,1.1180187166666668e-07,8.583003916666667e-07,55.01639316666667,0.0,9.220409933333334e-07,0.0029821733333333,0.0,0.0,268.7998283333333,17.058808533333334,3.3124147366666663,0.1005937418333333,1.2167927133333331e-05
3.638243583333333e-06,0.0054695413333333,48317.44225,4927.007923016667,1.1051923833333337e-07,8.526298366666666e-07,59.6485065,0.0,2.85362874e-06,0.0031966273333333,0.0,0.0,268.6122433333333,17.449158999999998,3.32465476,-0.0773414475,6.199114999999998e-06
3.7110816666666655e-06,0.0112002906666666,48296.12388333333,4924.834054683333,1.0793759916666669e-07,8.362698553333333e-07,62.89384983333334,3.5761988333333335e-08,5.89802871e-06,0.0033839444999999,0.0,0.0,268.597735,18.11365363333333,2.800716720833333,0.0153740883333333,-3.258866166666665e-06
-1.1435106333333331e-05,0.0625115841666666,48290.50618333334,4924.2612089,9.951955216666669e-08,8.079728266666666e-07,75.23887483333333,1.4687766033333333e-06,7.916289305e-06,0.0037638753333333,0.0,1.373524321666667e-06,268.558755,18.753392666666667,3.1180235783333337,0.0147281691666666,-1.1855561333333334e-05
-1.625229833333333e-05,0.1906450726666666,48274.644283333335,4922.64374515,1.0116154166666668e-07,7.397929066666667e-07,73.425967,9.620622138333334e-06,1.09772994e-05,0.0038361411666666,0.0,1.1662522833333334e-05,268.578185,19.697359816666665,3.135576576666667,-0.0670566285,-2.5398728500000003e-05
2.458210833333333e-06,0.1601726716666666,48264.2774,4921.586617383334,1.050379325e-07,8.376584049999999e-07,68.98947333333334,7.497771800000001e-06,1.4121841733333333e-05,0.0037453288333333,0.0,1.2166514933333332e-05,268.36862333333335,20.11927548333333,2.6037067166666668,-0.1149699361666666,-8.930089333333334e-06
3.5037171833333326e-06,0.2190152766666666,48207.90343333333,4915.838072366667,1.0440893933333333e-07,9.756398866666669e-07,69.11281083333334,4.351025933333333e-06,2.529854933e-05,0.0037008823333333,9.964307833333331e-10,4.88945495e-06,268.04763,20.48100235,2.0016994916666664,-0.0776665496666666,1.0302433833333336e-05
3.485586166666667e-06,0.2874946473333333,48185.804833333335,4913.58464255,1.0327394833333336e-07,1.0211799533333334e-06,67.65775633333332,3.0375838300000004e-06,3.785713663266667e-05,0.0035896756666666,0.0,2.1890548533333333e-06,267.83579000000003,21.1721044,1.1039406116666666,0.0448280624999999,1.7822611166666666e-05
2.5636473333333337e-06,0.2570319,48150.38965,4909.973298633334,1.057214545e-07,1.1146921333333331e-06,61.48064633333333,2.39014255e-06,3.272372804e-05,0.0033577996666666,0.0,8.463231366666666e-07,267.75992333333335,21.600495066666667,-0.543660825,0.1134972336666666,2.5095552683333333e-05
-5.8123021000000015e-06,0.0953084835,48167.22878333333,4911.690412333333,1.08969866e-07,8.844137066666668e-07,59.81224733333334,7.350096333333334e-08,4.287153333333334e-07,0.0032568106666666,0.0,2.146213416666667e-07,267.69692000000003,22.80155944333333,-1.0081590166666663,0.20332153,5.432760000000001e-06
-6.404336333333333e-06,0.055734495,48198.95801666666,4914.925893783334,1.1163377733333333e-07,5.714307983333334e-07,54.1381525,5.168505833333333e-08,8.751899333333333e-07,0.0030238801666666,0.0,1.0330238333333333e-07,267.7773583333333,22.76262503,-2.022636861666667,0.1909672525,-1.8071806666666665e-05
-1.28693421e-05,0.0151168108333333,48290.20385,4924.2303793500005,1.1100291750000001e-07,3.287452483333333e-07,53.67658733333334,1.988896333333333e-08,5.570494926666667e-07,0.0029684175,0.0,1.986857833333333e-07,267.82565,23.0845272,-2.0968622333333333,0.2402568474999999,-3.0548916e-05
-5.421149616666667e-06,0.0002612085,48309.92751666667,4926.241633566667,1.0994484333333333e-07,2.4067883833333333e-07,52.228276666666666,0.0,3.188578533333333e-08,0.0029114604999999,0.0,3.179274233333333e-07,268.3602133333333,23.85679529833333,-2.1424272883333333,0.228499389,-2.0491084666666667e-05
