d,cc,z,tall,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo
9.382741085714287e-06,0.0,130501.91214285714,13307.491564285714,2.395531228571429e-07,3.3795230142857142e-06,13.022116428571428,0.0,1.0540430685714284e-05,0.0,217.40052285714287,40.57789871428572,-0.7025488857142855,-0.0731860765714285,8.7973849e-06
1.1009878528571428e-05,0.0,130450.33928571428,13302.232594285711,2.374627014285714e-07,3.545802685714286e-06,12.632812428571428,0.0,1.0210985185714284e-05,0.0,217.54521142857143,39.61501214285715,-1.0891554342857144,-0.0810579888571428,9.337371157142856e-06
8.758293928571427e-06,0.0,130519.92857142857,13309.32873,2.5105348142857145e-07,3.4481146428571427e-06,12.130578714285717,0.0,1.0213617457142858e-05,0.0,217.8478871428572,38.403996285714285,-0.9401449857142856,-0.0632477211428571,4.114274059999999e-06
3.573743771428572e-06,0.0,130565.13428571427,13313.938427142855,2.553444971428572e-07,3.569568557142857e-06,12.2238327,0.0,1.0164956728571429e-05,0.0,217.8673571428572,37.394367571428575,-0.3389983571428571,-0.0667511998571428,1.2501191928571427e-05
2.267837177142857e-06,0.0,130613.85642857142,13318.906704285717,2.590301757142857e-07,3.680881757142857e-06,12.603918142857143,0.0,1.0489282957142857e-05,0.0,217.79734,36.105093857142855,-0.1389241328571428,-0.0415592804285714,1.637920542857143e-05
4.8961282e-06,0.0,130641.53714285714,13321.729352857144,2.584556171428571e-07,3.558666957142857e-06,12.885837285714286,0.0,1.0781447385714284e-05,0.0,217.7469771428572,35.71788685714286,0.3935535714285714,-0.0628319381428571,1.2437450714285716e-05
6.01147842857143e-06,0.0,130608.30357142857,13318.340468571429,2.603716128571429e-07,3.490628557142857e-06,12.72399,0.0,1.0932032014285714e-05,0.0,217.70261142857143,35.68966471428571,0.4926493571428572,-0.0374896071428571,1.1351209542857145e-05
2.0301634857142856e-06,0.0,130596.93642857144,13317.181344285713,2.656231157142857e-07,3.633233414285714e-06,12.268427142857144,0.0,1.1044095742857144e-05,0.0,217.7728042857143,35.640843000000004,0.5297373142857144,-0.0290894801428571,1.6195364085714285e-05
8.43248642857143e-07,0.0,130566.18714285716,13314.04579,2.736577942857143e-07,3.881144828571428e-06,12.386608714285714,0.0,1.1853413128571429e-05,0.0,217.88460571428573,35.663918571428574,0.2951693128571429,-0.0190281495714285,2.408385314285714e-05
-3.2016451e-06,0.0,130560.41071428572,13313.456755714287,2.7850231285714285e-07,4.117371128571429e-06,12.158119385714286,0.0,1.2190713e-05,0.0,218.01962571428567,35.59150714285714,0.0174963800000001,-0.0028513572857142,3.1603491e-05
-1.3682641142857147e-06,0.0,130579.75142857144,13315.428961428572,2.783038614285715e-07,4.147649085714286e-06,11.847521757142855,0.0,1.1636276728571427e-05,0.0,217.97264142857145,35.602493714285714,-0.1446985071428571,-0.0377435864285714,3.312237085714286e-05
-1.5613767142857137e-07,0.0,130548.05285714286,13312.196607142858,2.798596657142857e-07,4.227174414285714e-06,11.589874485714288,0.0,1.1326388814285714e-05,0.0,218.03343,36.25324142857143,0.0545131164285714,0.0050553011428571,3.294054442857143e-05
-1.7666787914285716e-06,0.0,130603.64285714286,13317.865210000002,2.817781957142857e-07,4.682177071428572e-06,11.629495571428572,0.0,1.1572089457142855e-05,0.0,218.11638,36.20743657142857,-0.1532911657142857,0.0047193914285714,4.2285744142857136e-05
1.567511428571427e-07,0.0,130606.33857142855,13318.140097142856,2.9262318571428573e-07,4.984580942857143e-06,11.6344655,0.0,1.112843417142857e-05,0.0,218.1545057142857,35.655415285714284,-1.459775752857143,-0.0231397348571428,4.895214357142857e-05
-1.7256349999999995e-06,0.0,130634.18,13320.979130000002,2.994703514285715e-07,4.7783782e-06,11.130735428571429,0.0,9.80224302857143e-06,0.0,218.20975,36.18852457142857,-3.536185051428572,0.0031476492857142,4.077482132857143e-05
-3.898771042857142e-06,0.0,130701.40142857144,13327.833809999998,3.011645042857143e-07,4.512513257142857e-06,11.048824285714286,0.0,9.714118257142857e-06,0.0,218.25578,36.00877,-5.503169585714287,0.0127378432857142,3.286037461428572e-05
-7.738941428571428e-06,0.0,130766.63428571427,13334.48571,3.020782557142857e-07,4.315385642857143e-06,11.489940285714283,0.0,1.0379957742857142e-05,0.0,218.11518285714288,35.72058128571429,-6.659433914285714,0.0123996955714285,2.9684805571428573e-05
-6.196116e-06,0.0,130825.26785714286,13340.464671428572,2.882343457142857e-07,4.323903528571429e-06,12.02783142857143,0.0,1.0764337628571428e-05,0.0,217.8970742857143,35.92362542857143,-7.333142885714285,0.0027998168571428,2.9236637142857143e-05
-5.493800571428571e-06,0.0,130829.0257142857,13340.847865714286,2.767463371428572e-07,4.225689942857143e-06,12.082195928571428,0.0,1.0964603028571427e-05,0.0,217.79600285714287,36.98980285714286,-7.935808528571428,0.0021103231428571,3.155746057142857e-05
-3.2757219e-06,0.0,130839.49,13341.914924285717,2.562641400000001e-07,3.719850657142857e-06,12.213460285714286,0.0,1.14432355e-05,0.0,217.70101285714284,38.42474357142857,-8.44074257142857,0.0298468228571428,1.7071848651428573e-05
-2.6896335714285715e-06,0.0,130845.92857142857,13342.571477142856,2.408994742857143e-07,3.471762271428572e-06,12.764314142857144,0.0,1.25053412e-05,0.0,217.7086571428572,38.36762528571428,-7.929388042857143,0.0507643434285714,2.968840775714287e-06
-2.9572289e-06,0.0,130884.37357142856,13346.491775714285,2.331953242857143e-07,3.3975217571428573e-06,13.347634714285716,0.0,1.3523847085714286e-05,0.0,217.67952714285715,37.893997,-6.8450660857142855,0.0161925272857142,-8.827710571428575e-07
-5.905888714285713e-07,0.0,130899.23285714284,13348.007001428572,2.293260757142857e-07,3.2467498e-06,13.690810142857142,0.0,1.4299648e-05,0.0,217.59899857142847,37.56168271428572,-5.853516742857143,0.0210068198571428,-5.529834157142857e-06
-1.005134142857142e-06,0.0,130881.8492857143,13346.23437,2.276846814285714e-07,3.1067805428571427e-06,13.857538485714286,0.0,1.48266329e-05,0.0,217.5614957142857,37.12064257142857,-5.027106385714285,0.0252943814285714,-1.1705044771428571e-05
-3.727692942857143e-06,0.0,130910.15285714286,13349.12053,2.2415536142857146e-07,3.018890757142857e-06,14.340962714285714,0.0,1.5526183714285714e-05,0.0,217.52352285714284,37.12964071428571,-4.625529942857143,0.0202125851428571,-1.4325696e-05
-5.038324157142857e-06,0.0,130885.9007142857,13346.6475,2.227402342857143e-07,2.9820699428571425e-06,15.226422799999998,0.0,1.6424956585714283e-05,0.0,217.4350542857143,37.41501514285714,-4.681086671428572,0.0258875497142857,-1.4105744714285717e-05
-6.587255361428571e-06,0.0,130997.04357142856,13357.98092,2.296204342857143e-07,3.0064685571428573e-06,14.701251071428572,0.0,1.5769839385714284e-05,0.0,217.58761142857145,37.16159742857143,-5.0128974571428575,0.0396616501428571,-1.1793479328571426e-05
-8.017699e-06,0.0,131010.66214285714,13359.369624285711,2.321209728571429e-07,2.895805185714285e-06,14.491237371428571,0.0,1.4597686071428572e-05,0.0,217.45852857142856,37.39205957142857,-5.228446867142857,0.0066231427142857,-1.6272048714285714e-05
